Number_of_Survivors,Migration_route,serial,Coordinates_Fixed,Website_Date_Fixed,lat,lon,random,Region_of_Incident
,US-Mexico border crossing,53,"-110.989383','31.354017",2014-04-02,31.354017,-110.989383,0.453820471,North America
0.0,,54,"32','-23.8148",2014-04-09,-23.8148,32.0,0.521306143,Eastern Africa
661.0,Central Mediterranean,55,"14','35.1092",2014-04-09,35.1092,14.0,0.585533743,Mediterranean
,US-Mexico border crossing,56,"-112.42503','32.03171",2014-04-10,32.03171,-112.42503,0.877454587,North America
,US-Mexico border crossing,57,"-111.9419','31.836217",2014-04-10,31.836217,-111.9419,0.638375951,North America
,US-Mexico border crossing,58,"-111.330983','32.12865",2014-04-14,32.12865,-111.330983,0.143881028,North America
,US-Mexico border crossing,59,"-112.5039','32.178733",2014-04-14,32.178733,-112.5039,0.533750734,North America
,US-Mexico border crossing,60,"-112.246033','32.09045",2014-04-14,32.09045,-112.246033,0.711198443,North America
309.0,Sahara Desert crossing,61,"22','23.3112",2014-04-14,23.3112,22.0,0.365139916,Northern Africa
5.0,Eastern Mediterranean,62,"27','38.669208",2014-04-16,38.669208,27.0,0.554495794,Mediterranean
3.0,,63,"-94','16.242196",2014-04-17,16.242196,-94.0,0.309438598,Central America
,US-Mexico border crossing,64,"-113.0037','32.1886",2014-04-18,32.1886,-113.0037,0.069139474,North America
,,65,"107','21.5928",2014-04-21,21.5928,107.0,0.20054752,South-eastern Asia
,US-Mexico border crossing,66,"-112.9961','32.1833",2014-04-23,32.1833,-112.9961,0.653898804,North America
7.0,,67,"101','13.3493133",2014-04-25,13.3493133,101.0,0.348254952,South-eastern Asia
,US-Mexico border crossing,68,"-110.862595','31.99887",2014-04-27,31.99887,-110.862595,0.467371261,North America
,US-Mexico border crossing,69,"-110.793333','31.467633",2014-04-27,31.467633,-110.793333,0.521240813,North America
1.0,Central Mediterranean,70,"14','34.3706",2014-04-30,34.3706,14.0,0.565392606,Mediterranean
,US-Mexico border crossing,71,"-111.43782','31.59867",2014-04-30,31.59867,-111.43782,0.331489366,North America
16.0,,72,"-70','18.3079",2014-05-01,18.3079,-70.0,0.653259423,Caribbean
,US-Mexico border crossing,73,"-111.79283','31.58023",2014-05-01,31.58023,-111.79283,0.980817393,North America
80.0,Central Mediterranean,74,"14','33.1045",2014-05-02,33.1045,14.0,0.087541261,Mediterranean
,English Channel to the UK,75,"1.85869','50.9513",2014-05-07,50.9513,1.85869,0.337540488,Europe
36.0,Eastern Mediterranean,76,"27','37.848433",2014-05-05,37.848433,27.0,0.140336994,Mediterranean
,US-Mexico border crossing,77,"-112.868','32.12555",2014-05-06,32.12555,-112.868,0.561300325,North America
53.0,Central Mediterranean,78,"16','32.6801",2014-05-06,32.6801,16.0,0.988648835,Mediterranean
,Central Mediterranean,79,"12','35.8196",2014-05-07,35.8196,12.0,0.381553076,Mediterranean
,US-Mexico border crossing,80,"-111.97016','31.75233",2014-05-08,31.75233,-111.97016,0.981312773,North America
17.0,,81,"98','8.855529",2014-05-08,8.855529,98.0,0.368807996,South-eastern Asia
,Sahara Desert crossing,82,"2','23.5301672",2014-05-09,23.5301672,2.0,0.760866321,Northern Africa
,US-Mexico border crossing,83,"-110.360473','31.692369",2014-05-10,31.692369,-110.360473,0.961186403,North America
226.0,Central Mediterranean,84,"16','34.7086",2014-05-12,34.7086,16.0,0.122178328,Mediterranean
,US-Mexico border crossing,85,"-112.34965','31.95283",2014-05-13,31.95283,-112.34965,0.938122908,North America
,US-Mexico border crossing,86,"-111.68357','31.61445",2014-05-21,31.61445,-111.68357,0.134614615,North America
,US-Mexico border crossing,87,"-111.6213','32.46313",2014-05-22,32.46313,-111.6213,0.558023736,North America
,Eastern Mediterranean,88,"20','39.5061",2014-05-23,39.5061,20.0,0.573502339,Mediterranean
,English Channel to the UK,89,"1.85869','50.9513",2014-05-23,50.9513,1.85869,0.222162285,Europe
,US-Mexico border crossing,90,"-113.1525','32.0667",2014-05-27,32.0667,-113.1525,0.41699902,North America
,US-Mexico border crossing,91,"-109.4814','31.34675",2014-05-28,31.34675,-109.4814,0.551523667,North America
,US-Mexico border crossing,92,"-111.636383','32.437783",2014-05-30,32.437783,-111.636383,0.81083795,North America
,US-Mexico border crossing,93,"-111.636383','32.437983",2014-05-30,32.437983,-111.636383,0.505563464,North America
0.0,Horn of Africa to Yemen crossing,94,"48','12.5331",2014-05-31,12.5331,48.0,0.982635992,Eastern Africa
,US-Mexico border crossing,95,"-111.3423','31.62445",2014-06-01,31.62445,-111.3423,0.549623414,North America
,US-Mexico border crossing,96,"-110.96816','31.334397",2014-06-03,31.334397,-110.96816,0.20700085,North America
,Central Mediterranean,97,"13','35.358",2014-06-05,35.358,13.0,0.32861585,Mediterranean
,US-Mexico border crossing,98,"-111.670617','32.564183",2014-06-06,32.564183,-111.670617,0.743235918,North America
,Central Mediterranean,99,"12','35.4125",2014-06-08,35.4125,12.0,0.972760299,Mediterranean
0.0,Central Mediterranean,100,"14','36.4935",2014-06-09,36.4935,14.0,0.556758324,Mediterranean
,US-Mexico border crossing,101,"-112.0059','31.906667",2014-06-09,31.906667,-112.0059,0.50640359,North America
,US-Mexico border crossing,102,"-112.959966','32.23316",2014-06-09,32.23316,-112.959966,0.544710477,North America
,US-Mexico border crossing,103,"-112.9','32.05",2014-06-10,32.05,-112.9,0.794439239,North America
,US-Mexico border crossing,104,"-112.59816','32.48843",2014-06-10,32.48843,-112.59816,0.844410353,North America
,US-Mexico border crossing,105,"-111.396767','31.778767",2014-06-12,31.778767,-111.396767,0.923631034,North America
,US-Mexico border crossing,106,"-113.75','32.833333",2014-06-12,32.833333,-113.75,0.485371706,North America
,US-Mexico border crossing,107,"-111.875669','31.914994",2014-06-12,31.914994,-111.875669,0.263390237,North America
,US-Mexico border crossing,108,"-111.86507','31.84452",2014-06-12,31.84452,-111.86507,0.260631992,North America
,US-Mexico border crossing,109,"-112.58124','32.14323",2014-06-13,32.14323,-112.58124,0.486845763,North America
,US-Mexico border crossing,110,"-111.86321','31.78543",2014-06-14,31.78543,-111.86321,0.229175825,North America
,US-Mexico border crossing,111,"-111.40091','31.49908",2014-06-14,31.49908,-111.40091,0.939741129,North America
39.0,Central Mediterranean,112,"15','34.2775",2014-06-14,34.2775,15.0,0.989681226,Mediterranean
13.0,,113,"101','13.6702361",2014-06-14,13.6702361,101.0,0.119693966,South-eastern Asia
356.0,Central Mediterranean,114,"12','35.9061",2014-06-15,35.9061,12.0,0.424407419,Mediterranean
16.0,,115,"101','13.1394249",2014-06-15,13.1394249,101.0,0.297776028,South-eastern Asia
,Western Africa / Atlantic route to the Canary Islands,116,"-13','28.348645",2014-06-16,28.348645,-13.0,0.147325266,Eastern Africa
,US-Mexico border crossing,117,"-98','27.15310333",2014-06-16,27.15310333,-98.0,0.56597707,North America
0.0,Western Mediterranean,118,"-3','35.2783",2014-06-18,35.2783,-3.0,0.021539446,Mediterranean
,US-Mexico border crossing,119,"-111.71384','32.16403",2014-06-18,32.16403,-111.71384,0.573665721,North America
62.0,,120,"100','4.66259",2014-06-18,4.66259,100.0,0.061169969,South-eastern Asia
,US-Mexico border crossing,121,"-111.20567','32.17175",2014-06-19,32.17175,-111.20567,0.306581024,North America
,US-Mexico border crossing,122,"-111.64305','32.4275",2014-06-19,32.4275,-111.64305,0.427900777,North America
,US-Mexico border crossing,123,"-112.21016','32.49936",2014-06-25,32.49936,-112.21016,0.735764223,North America
0.0,Central Mediterranean,124,"17','34.6033",2014-06-27,34.6033,17.0,0.807120003,Mediterranean
,US-Mexico border crossing,125,"-111.00497','31.39289",2014-06-28,31.39289,-111.00497,0.399826857,North America
,Central Mediterranean,126,"13','36.1838",2014-06-29,36.1838,13.0,0.135863212,Mediterranean
566.0,Central Mediterranean,127,"14.688719','36.222841",2014-06-29,36.222841,14.688719,0.862721761,Mediterranean
27.0,Central Mediterranean,128,"15.8313','36.4317",2014-07-01,36.4317,15.8313,0.413131806,Mediterranean
,US-Mexico border crossing,129,"-111.84799','31.6739",2014-07-01,31.6739,-111.84799,0.281769847,North America
,US-Mexico border crossing,130,"-111.78697','31.629327",2014-07-02,31.629327,-111.78697,0.042558177,North America
,US-Mexico border crossing,131,"-112','32.375917",2014-07-02,32.375917,-112.0,0.343019262,North America
,Central Mediterranean,132,"15','33.0335",2014-07-05,33.0335,15.0,0.710376022,Mediterranean
,US-Mexico border crossing,133,"-113','32.081967",2014-07-05,32.081967,-113.0,0.249527317,North America
0.0,Central Mediterranean,134,"13','32.9615",2014-07-06,32.9615,13.0,0.208119821,Mediterranean
