Number_of_Survivors,Migration_route,serial,Coordinates_Fixed,Website_Date_Fixed,lat,lon,random,Region_of_Incident
4.0,US-Mexico border crossing,1440,"-114.7250593','32.74410414",2016-03-28,32.74410414,-114.7250593,0.50782014,North America
30.0,Central Mediterranean,1446,"12.376176','32.7703544",2016-03-30,32.7703544,12.376176,0.011284291,Mediterranean
127.0,Central Mediterranean,1448,"30.6261692','31.6509306",2016-03-31,31.6509306,30.6261692,0.298805605,Mediterranean
5.0,Eastern Mediterranean,1473,"26.6778283','37.7245805",2016-04-09,37.7245805,26.6778283,0.910749219,Mediterranean
37.0,Central Mediterranean,1476,"25.164174','31.5760031",2016-04-09,31.5760031,25.164174,0.736863691,Mediterranean
108.0,Central Mediterranean,1489,"12.5050901','35.5012182",2016-04-17,35.5012182,12.5050901,0.821031433,Mediterranean
1.0,Western Mediterranean,1515,"-2.1652845','36.7271909",2016-04-23,36.7271909,-2.1652845,0.326487694,Mediterranean
19.0,Sahara Desert crossing,1517,"13.9776971','31.7602016",2016-04-27,31.7602016,13.9776971,0.237776822,Northern Africa
26.0,Central Mediterranean,1520,"12.376176','32.7703544",2016-04-29,32.7703544,12.376176,0.103598969,Mediterranean
105.0,Central Mediterranean,1521,"16.2301914','33.4165331",2016-04-29,33.4165331,16.2301914,0.092231589,Mediterranean
29.0,Western Africa / Atlantic route to the Canary Islands,1545,"-15.7939791','26.8368827",2016-05-11,26.8368827,-15.7939791,0.635808291,Northern Africa
139.0,Central Mediterranean,1595,"14.5143211','36.9174776",2016-05-25,36.9174776,14.5143211,0.30937511,Mediterranean
460.0,Central Mediterranean,1596,"12.6998943','32.7610231",2016-05-25,32.7610231,12.6998943,0.531078372,Mediterranean
87.0,Central Mediterranean,1597,"12.059376','33.050577",2016-05-26,33.050577,12.059376,0.500187028,Mediterranean
526.0,Central Mediterranean,1600,"14.5143211','36.9174776",2016-05-26,36.9174776,14.5143211,0.664431355,Mediterranean
78.0,Central Mediterranean,1602,"12.376176','32.7703544",2016-05-28,32.7703544,12.376176,0.751199519,Mediterranean
340.0,Central Mediterranean,1603,"12.135376','35.1025073",2016-05-28,35.1025073,12.135376,0.868495105,Mediterranean
625.0,Central Mediterranean,1606,"12.135376','35.1025073",2016-05-29,35.1025073,12.135376,0.739356755,Mediterranean
6.0,Western Balkans,1624,"20.0220261','46.0297665",2016-06-01,46.0297665,20.0220261,0.051688744,Europe
318.0,Central Mediterranean,1629,"25.1847692','35.3445284",2016-06-03,35.3445284,25.1847692,0.137229338,Mediterranean
3.0,Western Mediterranean,1635,"-2.9535166','35.1647417",2016-06-07,35.1647417,-2.9535166,0.825590173,Mediterranean
1950.0,Central Mediterranean,1646,"12.7194955','33.9413036",2016-06-09,33.9413036,12.7194955,0.812293067,Mediterranean
2.0,US-Mexico border crossing,1647,"-114.709677','32.59644",2016-06-09,32.59644,-114.709677,0.569518168,North America
133.0,Central Mediterranean,1662,"12.7194955','33.9413036",2016-06-12,33.9413036,12.7194955,0.946962033,Mediterranean
113.0,Central Mediterranean,1686,"12.7194955','33.9413036",2016-06-17,33.9413036,12.7194955,0.697660707,Mediterranean
8.0,Syria to Türkiye,1689,"36.3183572','35.8357803",2016-06-19,35.8357803,36.3183572,0.680195585,Western Asia
100.0,Central Mediterranean,1702,"12.3840848','32.8344776",2016-06-23,32.8344776,12.3840848,0.116863593,Mediterranean
1000.0,Central Mediterranean,1710,"15.4573987','31.4562342",2016-06-25,31.4562342,15.4573987,0.927396241,Mediterranean
107.0,Central Mediterranean,1718,"11.8610189','37.0930737",2016-06-30,37.0930737,11.8610189,0.009188167,Mediterranean
11.0,Central Mediterranean,1734,"12.135376','35.1025073",2016-07-02,35.1025073,12.135376,0.052048007,Mediterranean
9.0,US-Mexico border crossing,1750,"-117.3988689','33.0184054",2016-07-08,33.0184054,-117.3988689,0.436456826,North America
400.0,Central Mediterranean,1766,"13.5428521','33.5930353",2016-07-12,33.5930353,13.5428521,0.954903012,Mediterranean
100.0,Central Mediterranean,1767,"12.9419824','33.1575346",2016-07-12,33.1575346,12.9419824,0.760000025,Mediterranean
6.0,Eastern Mediterranean,1772,"26.1306061','39.1892618",2016-07-13,39.1892618,26.1306061,0.80267061,Mediterranean
842.0,Central Mediterranean,1792,"16.2301914','33.4165331",2016-07-19,33.4165331,16.2301914,0.699339732,Mediterranean
6.0,Caribbean to US,1803,"-80.0713358','26.3700653",2016-07-20,26.3700653,-80.0713358,0.302931896,Caribbean
104.0,Central Mediterranean,1804,"16.2301914','33.4165331",2016-07-20,33.4165331,16.2301914,0.120951521,Mediterranean
4.0,Western Mediterranean,1812,"-5.3533648','35.8450015",2016-07-22,35.8450015,-5.3533648,0.19966439,Mediterranean
6.0,English Channel to the UK,1821,"1.8339367','50.9518803",2016-07-26,50.9518803,1.8339367,0.565831979,Europe
10.0,Central Mediterranean,1831,"16.2301914','33.4165331",2016-07-31,33.4165331,16.2301914,0.351015504,Mediterranean
182.0,Central Mediterranean,1870,"12.7087493','32.7956982",2016-08-08,32.7956982,12.7087493,0.333449107,Mediterranean
1.0,Western Mediterranean,1898,"-6.3342618','36.5274037",2016-08-17,36.5274037,-6.3342618,0.264805302,Mediterranean
32.0,Central Mediterranean,1903,"12.3840848','32.8344776",2016-08-18,32.8344776,12.3840848,0.933609735,Mediterranean
12.0,Eastern Mediterranean,1914,"26.0481232','38.3446483",2016-08-21,38.3446483,26.0481232,0.476379747,Mediterranean
5.0,Western Balkans,1922,"21.9019461','43.2868787",2016-08-24,43.2868787,21.9019461,0.202583874,Europe
26.0,US-Mexico border crossing,1937,"-99.4332699','24.215586",2016-08-31,24.215586,-99.4332699,0.700252802,Central America
1050.0,Central Mediterranean,1949,"10.9044854','38.9607242",2016-09-01,38.9607242,10.9044854,0.635495135,Mediterranean
931.0,Central Mediterranean,1955,"11.8610189','37.0930737",2016-09-02,37.0930737,11.8610189,0.828978822,Mediterranean
250.0,Central Mediterranean,1962,"12.5396451','32.8045171",2016-09-05,32.8045171,12.5396451,0.540257791,Mediterranean
4.0,Western Balkans,1975,"22.904275','43.8085947",2016-09-11,43.8085947,22.904275,0.857242242,Europe
164.0,Central Mediterranean,1984,"12.1119778','33.3686315",2016-09-14,33.3686315,12.1119778,0.32555301,Mediterranean
750.0,Central Mediterranean,1986,"10.9044854','38.9607242",2016-09-15,38.9607242,10.9044854,0.190567157,Mediterranean
14.0,Central Mediterranean,2005,"9.1214544','37.16257",2016-09-20,37.16257,9.1214544,0.163399177,Mediterranean
162.0,Central Mediterranean,2010,"30.3236402','31.4732818",2016-09-21,31.4732818,30.3236402,0.743574259,Mediterranean
3.0,Caribbean to US,2014,"-81.1194852','24.7132563",2016-09-21,24.7132563,-81.1194852,0.260877047,Caribbean
3.0,Eastern Mediterranean,2028,"27.421418','37.0319069",2016-09-29,37.0319069,27.421418,0.162413698,Mediterranean
11.0,Afghanistan to Iran,2029,"58.5375272','27.3791818",2016-09-29,27.3791818,58.5375272,0.936156104,Southern Asia
1.0,English Channel to the UK,2054,"1.8339367','50.9518803",2016-10-09,50.9518803,1.8339367,0.38345046,Europe
113.0,Central Mediterranean,2073,"10.9044854','38.9607242",2016-10-14,38.9607242,10.9044854,0.034010818,Mediterranean
2.0,English Channel to the UK,2074,"1.8339367','50.9518803",2016-10-14,50.9518803,1.8339367,0.647768985,Europe
118.0,Central Mediterranean,2096,"13.1308465','33.1025518",2016-10-19,33.1025518,13.1308465,0.034785705,Mediterranean
300.0,Horn of Africa to Yemen crossing,2120,"43.2964341','11.9618171",2016-10-21,11.9618171,43.2964341,0.433959932,Eastern Africa
120.0,Central Mediterranean,2123,"14.4988153','34.2533716",2016-10-21,34.2533716,14.4988153,0.048230012,Mediterranean
107.0,Central Mediterranean,2137,"16.3516697','30.8804954",2016-10-25,30.8804954,16.3516697,0.63223388,Mediterranean
29.0,Central Mediterranean,2143,"13.2279444','32.955844",2016-10-26,32.955844,13.2279444,0.784128922,Mediterranean
140.0,Central Mediterranean,2144,"14.4988153','34.2533716",2016-10-26,34.2533716,14.4988153,0.31963895,Mediterranean
7.0,US-Mexico border crossing,2154,"-97.4065528','27.7345075",2016-10-31,27.7345075,-97.4065528,0.1815006,Caribbean
29.0,Central Mediterranean,2160,"16.3516697','30.8804954",2016-11-01,30.8804954,16.3516697,0.789129024,Mediterranean
2.0,Central Mediterranean,2163,"14.4988153','34.2533716",2016-11-02,34.2533716,14.4988153,0.71751304,Mediterranean
48.0,Eastern Mediterranean,2164,"26.6778283','37.7245805",2016-11-04,37.7245805,26.6778283,0.230897915,Mediterranean
115.0,Central Mediterranean,2168,"14.3136308','32.7632988",2016-11-06,32.7632988,14.3136308,0.564491694,Mediterranean
114.0,Central Mediterranean,2184,"14.4988153','34.2533716",2016-11-14,34.2533716,14.4988153,0.397256897,Mediterranean
15.0,Central Mediterranean,2185,"14.4988153','34.2533716",2016-11-14,34.2533716,14.4988153,0.702178876,Mediterranean
122.0,Central Mediterranean,2186,"14.4988153','34.2533716",2016-11-14,34.2533716,14.4988153,0.87300847,Mediterranean
23.0,Central Mediterranean,2194,"14.4988153','34.2533716",2016-11-15,34.2533716,14.4988153,0.53235014,Mediterranean
15.0,Eastern Mediterranean,2195,"24.6518013','40.6497756",2016-11-16,40.6497756,24.6518013,0.812039916,Mediterranean
27.0,Central Mediterranean,2196,"14.4988153','34.2533716",2016-11-16,34.2533716,14.4988153,0.003057243,Mediterranean
4.0,Eastern Mediterranean,2210,"27.1845561','37.3470607",2016-11-18,37.3470607,27.1845561,0.530419273,Mediterranean
1.0,Central Mediterranean,2249,"13.438092','34.0892379",2016-11-26,34.0892379,13.438092,0.99438965,Mediterranean
120.0,Central Mediterranean,2263,"15.8645735','34.1804604",2016-12-04,34.1804604,15.8645735,0.440477154,Mediterranean
140.0,Central Mediterranean,2264,"15.8645735','34.1804604",2016-12-04,34.1804604,15.8645735,0.50162194,Mediterranean
38.0,Western Mediterranean,2270,"-3.9578892','35.2528608",2016-12-07,35.2528608,-3.9578892,0.90905103,Mediterranean
42.0,Horn of Africa to Yemen crossing,2271,"53.6010655','12.6095928",2016-12-07,12.6095928,53.6010655,0.466634636,Western Asia
165.0,Central Mediterranean,2289,"15.8645735','34.1804604",2016-12-11,34.1804604,15.8645735,0.780417058,Mediterranean
27.0,Central Mediterranean,2300,"12.6998943','32.7610231",2016-12-13,32.7610231,12.6998943,0.484193081,Mediterranean
8.0,Eastern Mediterranean,2329,"26.7023165','39.3371165",2016-12-19,39.3371165,26.7023165,0.97263479,Mediterranean
63.0,Central Mediterranean,2351,"11.9928794','36.756978",2016-12-22,36.756978,11.9928794,0.195129326,Mediterranean
80.0,Central Mediterranean,2352,"11.9928794','36.756978",2016-12-22,36.756978,11.9928794,0.018506249,Mediterranean
62.0,Central Mediterranean,2353,"12.6998943','32.7610231",2016-12-23,32.7610231,12.6998943,0.022631654,Mediterranean
8.0,Central Mediterranean,2359,"11.9928794','36.756978",2016-12-24,36.756978,11.9928794,0.214684451,Mediterranean
3.0,Syria to Türkiye,2361,"40.8745875','37.122331",2016-12-25,37.122331,40.8745875,0.059858976,Western Asia
